Weight,Height,Age,Gender,Activity level,BMI_Category,Weight_kg,BMI,BMI_Detailed,Weight_Category,Activity_Score,Calories
85.0,5.05,39.0,Female,Sedentary,Obese,85.0,35.87618411607985,Obese,Very_Heavy,1.0,1747.23
72.0,4.9,28.0,Female,Sedentary,Obese,72.0,32.27828196597667,Obese,Heavy,1.0,1622.94
97.1,5.5,26.0,Female,Lightly Active,Obese,97.1,34.55126285826492,Obese,Very_Heavy,2.0,2375.66
94.9,5.3,29.0,Female,Sedentary,Obese,94.9,36.365080047908606,Obese,Very_Heavy,1.0,1983.18
102.3,5.5,41.0,Female,Sedentary,Obese,102.3,36.40158795469106,Obese,Extreme,1.0,2045.7
46.0,5.5,26.0,Female,Very Active,Underweight,46.0,16.777298556898373,Underweight,Light,4.0,2098.89
61.7,5.1,19.0,Female,Moderately Active,Overweight,61.7,25.533766732448672,Overweight,Normal,3.0,2065.45
75.0,5.5,37.0,Female,Lightly Active,Overweight,75.0,26.687381198453856,Overweight,Heavy,2.0,1996.16
84.0,5.3,42.0,Female,Moderately Active,Obese,84.0,32.18826895705293,Obese,Very_Heavy,3.0,2291.91
97.5,5.6,34.0,Female,Lightly Active,Obese,97.5,33.46560158256371,Obese,Very_Heavy,2.0,2352.35
69.3,5.2,50.5,Female,Sedentary,Overweight,69.3,27.58650117891951,Overweight,Heavy,1.0,1524.12
71.5,5.1,35.0,Female,Moderately Active,Overweight,71.5,29.5893731178295,Overweight,Heavy,3.0,2093.35
79.0,5.2,34.0,Female,Sedentary,Obese,79.0,31.44781519674807,Obese,Heavy,1.0,1739.52
85.5,5.1,39.0,Female,Sedentary,Obese,85.5,35.38309652551639,Obese,Very_Heavy,1.0,1764.66
118.5,5.4,44.0,Female,Sedentary,Obese,118.21875,43.56732230973144,Obese,Extreme,1.0,2195.86
86.0,5.1,39.0,Female,Sedentary,Obese,86.0,35.59001521864807,Obese,Very_Heavy,1.0,1770.66
85.0,5.4,26.0,Female,Lightly Active,Obese,85.0,31.376282078886355,Obese,Very_Heavy,2.0,2183.09
72.0,5.1,35.0,Female,Moderately Active,Overweight,72.0,29.796291810961172,Overweight,Heavy,3.0,2101.1
88.0,5.3,27.0,Female,Moderately Active,Obese,88.0,33.72104366929354,Obese,Very_Heavy,3.0,2470.16
102.0,5.4,28.0,Female,Sedentary,Obese,102.0,37.651538494663626,Obese,Extreme,1.0,2097.24
62.0,5.4,24.0,Female,Lightly Active,Normal,62.0,22.886229281070047,Normal,Normal,2.0,1880.59
92.5,5.6,32.0,Female,Lightly Active,Obese,92.5,31.74941688602198,Obese,Very_Heavy,2.0,2297.35
57.25,5.0,32.0,Female,Sedentary,Normal,57.25,24.649354854265262,Normal,Normal,1.0,1444.8
80.5,5.65,40.0,Male,Lightly Active,Overweight,80.5,27.143700792391964,Overweight,Very_Heavy,2.0,2318.7
84.0,5.4,50.5,Female,Sedentary,Obese,84.0,31.007149348546516,Obese,Very_Heavy,1.0,1746.24
80.5,5.65,41.0,Male,Lightly Active,Overweight,80.5,27.143700792391964,Overweight,Very_Heavy,2.0,2311.82
70.0,5.3,24.0,Female,Sedentary,Overweight,70.0,26.823557464210772,Overweight,Heavy,1.0,1714.38
