Weight,Height,Age,Gender,Activity level,Eating preference,BMI_Category
85,5.05,39,Female,Sedentary,Non Vegetarian,Obese
72,4.9,28,Female,Sedentary,Non Vegetarian,Obese
97.1,5.5,26,Female,Lightly Active,Non Vegetarian,Obese
94.9,5.3,29,Female,Sedentary,Non Vegetarian,Obese
102.3,5.5,41,Female,Sedentary,Non Vegetarian,Obese
46,5.5,26,Female,Very Active,Vegetarian,Underweight
61.7,5.1,19,Female,Moderately Active,Vegetarian,Overweight
75,5.5,37,Female,Lightly Active,Eggetarian,Overweight
84,5.3,42,Female,Moderately Active,Non Vegetarian,Obese
97.5,5.6,34,Female,Lightly Active,Vegetarian,Obese
69.3,5.2,50.5,Female,Sedentary,Vegetarian,Overweight
71.5,5.1,35,Female,Moderately Active,Vegetarian,Overweight
79,5.2,34,Female,Sedentary,Non Vegetarian,Obese
85.5,5.1,39,Female,Sedentary,Non Vegetarian,Obese
118.5,5.4,44,Female,Sedentary,Vegetarian,Obese
86,5.1,39,Female,Sedentary,Eggetarian,Obese
85,5.4,26,Female,Lightly Active,Vegetarian,Obese
72,5.1,35,Female,Moderately Active,Vegetarian,Overweight
88,5.3,27,Female,Moderately Active,Vegetarian,Obese
102,5.4,28,Female,Sedentary,Eggetarian,Obese
62,5.4,24,Female,Lightly Active,Vegetarian,Normal
92.5,5.6,32,Female,Lightly Active,Eggetarian,Obese
57.25,5,32,Female,Sedentary,Vegetarian,Normal
57.25,5,32,Female,Sedentary,Vegetarian,Normal
80.5,5.65,40,Male,Lightly Active,Non Vegetarian,Overweight
84,5.4,50.5,Female,Sedentary,Vegetarian,Obese
80.5,5.65,41,Male,Lightly Active,Non Vegetarian,Overweight
70,5.3,24,Female,Sedentary,Eggetarian,Overweight
87,5.2,29,Female,Lightly Active,Vegetarian,Obese
70,5.3,24,Female,Sedentary,Eggetarian,Overweight
75,5,35,Female,Very Active,Eggetarian,Obese
75,5.2,49,Female,Sedentary,Vegetarian,Overweight
95,5.4,38,Female,Sedentary,Eggetarian,Obese
91,5.1,34,Female,Sedentary,Vegetarian,Obese
91,5.1,34,Female,Sedentary,Vegetarian,Obese
79,5.4,25,Female,Sedentary,Non Vegetarian,Overweight
75.5,5.4,37,Female,Lightly Active,Eggetarian,Overweight
67,5.2,35,Female,Lightly Active,Vegetarian,Overweight
91,5.1,34,Female,Sedentary,Vegetarian,Obese
83,5.1,32,Female,Moderately Active,Vegetarian,Obese
118.5,5.3,34,Female,Lightly Active,Non Vegetarian,Obese
87.5,5.7,36,Male,Moderately Active,Non Vegetarian,Overweight
76,5.4,38,Female,Sedentary,Vegetarian,Overweight
60,5.4,31,Female,Sedentary,Non Vegetarian,Normal
108,5.3,50.5,Female,Lightly Active,Eggetarian,Obese
75,5.6,33,Female,Lightly Active,Vegetarian,Overweight
